Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Mean,Intensity Median,Intensity Min,Intensity StdDev,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
3.52,90.96,34.09,0.38,0.45,39941.00,24127.00,22230.60,14892.00,6327.91,1278730.00,134.00,34.59,84.13,0.37,0.67,0.34
2.71,92.13,35.06,0.33,0.57,46395.00,23175.70,22174.80,12327.00,7565.25,1019730.00,108.00,35.43,85.04,0.49,0.72,0.26
3.28,91.05,34.70,0.41,0.45,38580.00,23006.60,20978.80,16600.00,5132.26,989284.00,116.00,35.15,83.99,0.97,0.62,0.27
9.74,91.64,34.70,0.28,0.65,60244.00,26785.10,24861.20,14954.00,8221.90,5089160.00,370.00,35.56,84.44,1.35,0.57,1.22
13.93,92.95,36.63,0.31,0.59,40839.00,22900.20,21427.10,12763.00,5758.39,5656350.00,550.00,37.37,85.06,2.98,0.47,1.55
5.50,92.53,35.76,0.53,0.28,35647.00,20901.70,19527.50,14593.00,4847.86,1964760.00,214.00,36.39,85.03,2.77,0.58,0.53
0.36,92.32,35.69,0.08,0.53,21023.00,16443.00,15051.10,14376.00,2666.03,65772.00,18.00,35.81,85.02,3.51,0.58,0.01
0.69,92.57,35.84,0.30,0.41,19408.00,15830.00,14405.90,13452.00,1949.48,110810.00,30.00,36.07,85.16,4.01,0.64,0.03
0.27,94.29,38.82,0.03,0.98,15527.00,14731.30,13572.00,13572.00,838.53,44194.00,14.00,38.88,85.87,2.02,0.54,0.01
0.43,94.08,38.21,0.18,0.46,18240.00,14798.80,14196.60,13619.00,1558.14,88793.00,24.00,38.36,85.89,1.88,0.68,0.01
6.33,94.26,37.76,0.17,0.79,40634.00,21548.10,19705.00,13158.00,6015.77,2327200.00,252.00,38.35,86.04,3.59,0.57,0.65
8.29,94.84,38.49,0.17,0.76,48457.00,21746.40,19837.60,13063.00,6618.01,3544670.00,332.00,39.13,86.26,4.79,0.58,1.00
0.36,96.20,40.33,0.35,0.52,15985.00,13922.60,12773.70,12179.00,1451.77,69613.00,22.00,40.46,87.16,4.70,0.73,0.01
0.24,96.46,40.57,0.03,0.98,15874.00,14787.30,13536.00,13536.00,961.57,44362.00,14.00,40.63,87.33,5.22,0.54,0.00
7.32,96.11,39.65,0.49,0.31,52611.00,22833.50,21241.00,12855.00,6750.26,2945520.00,298.00,40.25,87.05,6.18,0.57,0.80
0.25,95.78,39.70,0.25,0.44,16522.00,16086.00,15332.00,15332.00,535.33,48258.00,14.00,39.77,86.86,6.92,0.72,0.01
4.93,97.54,40.01,0.17,0.84,34763.00,19650.50,18060.80,12836.00,4863.09,1532740.00,194.00,40.43,88.56,6.08,0.56,0.44
3.22,96.04,39.96,0.30,0.64,44933.00,23427.90,20845.70,13472.00,7399.83,1030830.00,120.00,40.38,86.83,7.26,0.64,0.28
0.17,96.16,39.80,0.25,0.44,13980.00,13217.00,12459.00,12459.00,620.96,39651.00,14.00,39.88,87.14,7.89,0.69,0.00
1.65,96.57,40.68,0.17,0.79,27504.00,19639.60,18691.00,14387.00,3715.25,392791.00,72.00,40.89,87.16,7.49,0.57,0.09
