Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Mean,Intensity Median,Intensity Min,Intensity StdDev,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
1.18,151.89,4.05,0.18,0.58,9243.00,6491.86,6074.79,4762.00,1413.02,90886.00,54.00,145.61,33.95,26.77,0.60,0.06
0.51,152.11,3.90,0.20,0.58,8527.00,7067.50,6750.75,5685.00,1024.57,28270.00,22.00,145.87,33.81,26.77,0.70,0.02
0.70,153.18,2.63,0.49,0.30,9698.00,7667.25,7148.78,6435.00,1060.94,61338.00,30.00,147.13,32.98,26.99,0.78,0.04
0.50,154.17,1.68,0.49,0.37,6835.00,6160.00,6473.87,4868.00,715.34,36960.00,26.00,148.08,33.42,26.89,0.72,0.02
1.27,153.26,2.28,0.48,0.35,12190.00,8355.64,7611.18,5988.00,1899.96,116979.00,50.00,147.39,31.86,27.36,0.72,0.08
0.26,153.39,2.34,0.39,0.38,8405.00,6469.25,5699.07,5623.00,1134.74,25877.00,18.00,147.50,31.53,27.87,0.68,0.01
2.53,155.51,0.00,0.34,0.53,24941.00,12194.90,11389.30,6872.00,4185.10,475603.00,96.00,149.67,32.31,27.21,0.74,0.24
0.48,150.60,5.38,0.65,0.20,7252.00,5905.83,5610.75,5075.00,686.45,35435.00,26.00,144.41,33.05,27.07,0.57,0.01
0.17,153.13,2.97,0.25,0.44,6982.00,6019.33,5214.00,5214.00,730.30,18058.00,14.00,146.83,34.04,27.06,0.69,0.00
0.41,151.03,5.18,0.42,0.30,7952.00,6244.00,5681.96,5017.00,976.27,31220.00,22.00,144.55,34.39,27.08,0.82,0.02
0.23,151.03,5.28,0.25,0.44,6739.00,6349.33,6107.00,6107.00,278.25,19048.00,14.00,144.50,34.19,27.55,0.69,0.01
0.57,150.12,6.30,0.18,0.82,7378.00,6815.00,6563.13,6066.00,459.33,47705.00,28.00,143.43,34.92,27.26,0.73,0.03
2.18,154.27,0.83,0.41,0.44,10808.00,7361.97,7274.52,5487.00,1265.41,220859.00,96.00,148.74,30.41,27.39,0.63,0.15
1.90,152.55,2.90,0.49,0.36,15734.00,8594.96,7964.81,5638.00,2479.27,206279.00,82.00,146.58,32.24,27.28,0.64,0.13
0.14,152.61,3.21,0.39,0.47,7210.00,6298.67,5842.00,5842.00,644.41,18896.00,14.00,146.63,31.96,27.72,0.75,0.00
7.52,155.02,0.13,0.17,0.77,25483.00,10389.00,9470.90,6056.00,3298.85,1257070.00,292.00,149.04,32.27,27.86,0.53,0.75
1.00,151.30,4.47,0.48,0.34,9992.00,7923.85,7416.48,5819.00,1446.12,103010.00,42.00,145.21,32.57,27.33,0.74,0.06
0.18,152.42,3.63,0.25,0.44,7841.00,6794.33,5644.00,5644.00,899.91,20383.00,14.00,146.23,33.38,27.11,0.74,0.00
2.51,152.52,3.10,0.31,0.37,11956.00,7591.78,6999.66,5580.00,1788.62,280896.00,118.00,146.16,33.83,27.51,0.59,0.17
0.67,150.69,5.61,0.53,0.29,8528.00,5977.22,5542.05,5190.00,968.52,53795.00,36.00,144.01,34.92,27.37,0.58,0.02
1.71,149.77,6.30,0.22,0.71,11281.00,6821.75,6246.56,5369.00,1397.66,163722.00,82.00,143.40,33.05,27.82,0.65,0.11
0.32,148.60,7.76,0.71,0.16,6157.00,5563.40,5522.16,4962.00,380.57,27817.00,22.00,142.01,33.78,27.80,0.77,0.01
0.37,148.10,8.63,0.30,0.61,6633.00,5910.67,5604.33,5493.00,452.01,35464.00,22.00,141.14,35.14,27.89,0.71,0.01
8.76,148.41,8.48,0.42,0.42,24520.00,10984.60,9846.56,5738.00,3881.35,1790490.00,354.00,140.90,37.06,28.28,0.55,1.00
0.28,148.77,8.88,0.25,0.44,8665.00,7265.33,6194.00,6194.00,1035.15,21796.00,14.00,140.93,37.25,29.69,0.76,0.01
2.06,151.28,4.47,0.38,0.49,11687.00,7428.70,6714.94,5683.00,1568.72,200575.00,80.00,145.08,32.44,28.01,0.61,0.13
3.30,153.04,2.77,0.16,0.77,17027.00,9501.52,9331.13,5833.00,2766.73,513082.00,132.00,146.78,32.81,28.32,0.70,0.33
0.76,150.66,5.86,0.08,0.74,7768.00,6510.70,6289.20,5567.00,766.19,65107.00,36.00,143.95,34.42,28.16,0.63,0.03
4.37,149.20,7.57,0.26,0.50,20668.00,10684.50,9184.94,6535.00,3849.17,715860.00,172.00,142.00,35.96,28.36,0.59,0.39
0.11,154.09,1.51,0.25,0.44,6096.00,5649.67,5175.00,5175.00,376.53,16949.00,14.00,148.33,30.53,28.40,0.62,0.00
3.33,151.18,4.61,0.30,0.61,11324.00,7582.76,7165.72,5410.00,1522.43,280562.00,126.00,144.83,32.52,28.64,0.50,0.20
0.38,150.44,5.66,0.09,0.00,14821.00,8277.25,6217.67,5567.00,3792.81,33109.00,18.00,144.12,32.59,28.28,0.66,0.01
3.21,149.69,6.49,0.23,0.55,13646.00,7517.56,6975.60,5553.00,1564.75,308220.00,128.00,142.98,33.67,28.83,0.54,0.22
0.33,155.07,0.55,0.39,0.38,9533.00,7458.75,6249.85,6224.00,1360.09,29835.00,18.00,149.23,30.93,28.61,0.75,0.01
0.25,153.80,1.95,0.39,0.38,8084.00,6754.50,6267.55,6186.00,774.98,27018.00,18.00,147.85,31.73,28.08,0.72,0.01
0.91,154.15,1.63,0.47,0.21,8497.00,6905.27,6462.40,5770.00,792.11,75958.00,44.00,148.08,31.78,28.74,0.60,0.04
0.41,154.58,1.36,0.63,0.12,6813.00,6259.33,6160.20,5847.00,357.62,37556.00,26.00,148.45,31.90,28.96,0.59,0.01
0.45,148.29,8.52,0.47,0.29,9461.00,6914.20,6257.21,5956.00,1285.99,34571.00,22.00,141.21,35.15,28.51,0.74,0.02
0.36,152.14,3.85,0.39,0.38,8284.00,6568.50,5743.94,5662.00,1053.33,26274.00,18.00,145.94,31.74,29.00,0.80,0.01
1.33,148.71,8.50,0.26,0.70,16116.00,9944.47,9382.86,7185.00,2312.07,169056.00,58.00,141.19,36.72,28.87,0.68,0.08
0.16,147.17,10.57,0.25,0.44,6547.00,6090.33,5857.00,5857.00,322.93,18271.00,14.00,139.33,37.61,28.86,0.71,0.00
0.68,150.62,5.87,0.41,0.14,11289.00,8364.50,7485.41,6191.00,1925.54,50187.00,24.00,143.80,33.89,29.28,0.69,0.03
0.37,148.56,8.23,0.25,0.00,7440.00,6501.40,5673.39,5499.00,807.42,32507.00,22.00,141.45,34.72,29.25,0.71,0.01
0.33,150.92,6.01,0.16,0.84,6263.00,5996.00,5846.19,5795.00,187.29,23984.00,18.00,143.84,35.47,28.81,0.70,0.01
0.10,151.20,5.78,0.39,0.47,5509.00,5111.67,4572.00,4572.00,395.55,15335.00,14.00,144.04,35.46,29.25,0.84,0.00
1.61,150.42,6.57,0.40,0.48,9933.00,6973.10,6553.99,5451.00,1167.92,146435.00,72.00,142.98,36.52,29.11,0.64,0.10
