Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Mean,Intensity Median,Intensity Min,Intensity StdDev,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
0.47,73.12,2.91,0.15,0.62,7336.00,5136.60,4332.39,4050.00,1162.87,25683.00,22.00,50.63,3.19,52.66,0.71,0.02
0.26,73.12,2.63,0.39,0.47,5278.00,4697.00,3930.00,3930.00,565.82,14091.00,14.00,50.38,2.76,52.92,0.75,0.01
0.41,73.40,2.33,0.44,0.21,6059.00,4961.50,4002.29,3856.00,1033.42,19846.00,18.00,50.75,2.59,52.96,0.70,0.01
0.33,73.82,2.50,0.23,0.37,4909.00,4637.25,4804.78,3989.00,376.07,18549.00,18.00,50.59,2.57,53.69,0.72,0.01
0.74,73.50,2.93,0.40,0.40,6607.00,5463.00,5151.71,4560.00,735.55,38241.00,30.00,50.47,3.13,53.33,0.72,0.04
0.45,77.76,15.49,0.16,0.58,5713.00,4873.80,4348.80,3751.00,757.93,24369.00,22.00,54.20,15.64,53.52,0.73,0.02
0.22,78.72,17.44,0.25,0.44,4379.00,4029.67,3602.00,3602.00,322.01,12089.00,14.00,55.12,17.58,53.39,0.75,0.01
0.44,79.00,17.40,0.40,0.26,7590.00,4548.50,3869.63,3605.00,1379.89,27291.00,26.00,55.39,17.56,53.52,0.65,0.01
2.88,73.89,0.94,0.13,0.56,8658.00,5217.32,4970.84,3500.00,1444.91,161737.00,118.00,50.78,1.32,53.67,0.48,0.15
0.84,73.98,2.67,0.67,0.18,8391.00,5131.78,4454.13,3789.00,1465.62,46186.00,38.00,50.80,2.90,53.69,0.65,0.04
0.97,74.10,2.93,0.28,0.65,7173.00,5045.82,4445.60,3895.00,957.34,55504.00,44.00,50.67,3.17,53.97,0.62,0.04
0.56,73.54,5.15,0.79,0.14,4683.00,4110.43,3804.09,3558.00,421.67,28773.00,30.00,50.48,5.25,53.22,0.58,0.02
1.43,74.33,4.73,0.42,0.26,10816.00,4813.13,4076.70,3567.00,1763.33,77010.00,60.00,50.51,5.05,54.30,0.48,0.05
