Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Mean,Intensity Median,Intensity Min,Intensity StdDev,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
1.50,54.48,10.06,0.32,0.53,11899.00,7744.80,7856.63,4811.00,1884.14,154896.00,68.00,10.43,53.47,0.23,0.70,0.10
0.45,55.50,10.08,0.71,0.16,10501.00,8593.20,7704.47,7217.00,1301.71,42966.00,22.00,10.25,54.54,0.19,0.70,0.02
0.73,55.98,10.27,0.52,0.33,11204.00,8870.14,8341.84,6993.00,1448.66,62091.00,28.00,10.52,54.98,0.33,0.75,0.04
0.23,56.45,9.81,0.25,0.44,7275.00,7023.67,6667.00,6667.00,259.15,21071.00,14.00,9.94,55.56,0.37,0.73,0.01
2.37,56.90,9.49,0.58,0.26,16229.00,8296.86,7485.16,5961.00,2278.58,240609.00,92.00,9.89,56.03,0.27,0.63,0.17
0.18,53.92,8.51,0.25,0.44,5353.00,4992.00,4735.00,4735.00,262.80,14976.00,14.00,8.61,53.23,0.61,0.67,0.00
0.21,53.97,8.34,0.25,0.44,5450.00,4979.33,4676.00,4676.00,337.41,14938.00,14.00,8.41,53.30,1.13,0.73,0.01
4.07,54.59,8.92,0.33,0.49,20382.00,11302.20,10031.70,6288.00,3580.16,734645.00,156.00,9.44,53.76,0.85,0.65,0.41
0.50,55.89,8.72,0.42,0.30,10224.00,8098.40,7083.75,6832.00,1340.54,40492.00,22.00,8.94,55.17,0.23,0.74,0.02
2.22,56.01,8.33,0.28,0.56,13203.00,7836.42,6915.27,5351.00,1866.87,242929.00,90.00,8.66,55.33,0.97,0.68,0.18
6.63,56.16,10.21,0.36,0.30,16913.00,9915.86,9366.96,5616.00,2305.01,823016.00,240.00,10.79,55.09,1.60,0.44,0.47
0.80,55.77,11.25,0.48,0.16,14233.00,10759.40,10778.90,7683.00,1944.16,86075.00,30.00,11.42,54.55,2.03,0.64,0.03
0.63,56.77,10.40,0.42,0.45,11852.00,7595.00,6786.30,6357.00,1913.83,45570.00,26.00,10.61,55.77,1.03,0.74,0.03
9.80,55.33,8.74,0.25,0.60,35981.00,13055.90,11652.90,5748.00,5280.00,2741740.00,386.00,9.27,54.53,1.28,0.60,1.35
0.29,55.92,9.78,0.26,0.70,11363.00,8295.80,7422.45,6977.00,1572.35,41479.00,20.00,9.91,55.03,1.03,0.80,0.01
11.69,54.98,9.98,0.33,0.50,65220.00,16353.00,13159.70,5987.00,9683.42,3793890.00,468.00,10.87,53.87,1.76,0.54,1.51
0.26,54.11,10.69,0.25,0.44,7467.00,6632.33,5753.00,5753.00,700.45,19897.00,14.00,10.76,53.02,1.14,0.70,0.01
0.35,55.33,10.40,0.16,0.40,11322.00,10635.50,10519.50,10148.00,426.98,42542.00,18.00,10.50,54.25,2.87,0.64,0.01
0.28,54.72,10.63,0.25,0.44,10634.00,9437.33,8324.00,8324.00,944.90,28312.00,14.00,10.76,53.56,3.01,0.74,0.01
2.04,56.72,10.20,0.51,0.32,14006.00,7862.00,7120.30,5612.00,1947.28,196550.00,80.00,10.59,55.70,1.54,0.61,0.13
0.16,56.52,8.98,0.39,0.47,6381.00,5701.33,5251.00,5251.00,488.99,17104.00,14.00,9.08,55.75,1.94,0.84,0.00
1.98,56.59,10.54,0.28,0.57,16710.00,10130.70,9273.56,7378.00,2145.09,192483.00,68.00,10.75,55.51,2.48,0.58,0.12
0.53,55.70,9.81,0.59,0.17,11407.00,9075.14,8168.11,7586.00,1401.56,63526.00,26.00,10.01,54.73,2.56,0.79,0.03
2.83,56.08,11.76,0.37,0.42,15821.00,9790.86,9292.33,6688.00,2277.30,352471.00,106.00,12.04,54.71,2.60,0.61,0.21
1.92,56.54,11.13,0.29,0.63,16792.00,10239.90,9795.91,6842.00,2439.30,225277.00,76.00,11.47,55.30,2.69,0.60,0.12
3.17,55.08,9.68,0.36,0.27,17370.00,10499.40,9687.19,7536.00,2520.55,356981.00,122.00,10.12,54.07,2.84,0.53,0.21
