Value,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Mean,Intensity Median,Intensity Min,Intensity StdDev,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
5535.00,20.26,150.28,18.53,0.23,0.75,65535.00,21409.90,16387.30,7015.00,13108.80,7857420.00,766.00,74.65,130.42,1.33,0.44,2.47
,0.31,150.36,19.00,0.39,0.47,13145.00,11799.70,10105.00,10105.00,1265.41,35399.00,14.00,74.14,130.80,1.95,0.85,0.01
,0.12,151.54,18.33,0.25,0.44,5610.00,5425.67,5289.00,5289.00,135.32,16277.00,14.00,75.16,131.57,2.69,0.62,0.00
,3.60,149.59,19.87,0.30,0.63,22247.00,12570.50,11370.60,7515.00,3909.35,540533.00,120.00,74.49,129.70,2.49,0.55,0.26
,0.64,149.30,20.50,0.49,0.37,12637.00,9562.38,8875.43,7346.00,1874.39,76499.00,30.00,74.71,129.23,2.81,0.80,0.03
,2.30,149.77,19.44,0.42,0.45,18788.00,10134.90,9715.47,6816.00,2741.27,293911.00,92.00,74.39,129.96,3.02,0.61,0.15
,0.25,150.16,19.62,0.25,0.44,10248.00,8846.00,7118.00,7118.00,1298.44,26538.00,14.00,74.75,130.19,3.19,0.72,0.01
,0.14,149.57,19.94,0.12,0.93,6102.00,5716.67,5411.00,5411.00,287.67,17150.00,14.00,74.17,129.82,4.05,0.66,0.00
,0.94,150.47,18.70,0.32,0.61,11767.00,7698.10,6874.50,5687.00,1906.33,76981.00,40.00,73.97,131.00,2.76,0.62,0.04
,0.17,150.11,19.02,0.25,0.44,6036.00,5554.33,5118.00,5118.00,376.14,16663.00,14.00,73.58,130.81,2.93,0.59,0.00
,0.28,149.49,19.74,0.12,0.93,7295.00,6570.67,5327.00,5327.00,883.38,19712.00,14.00,73.72,130.00,3.45,0.75,0.01
,6.19,149.49,20.20,0.42,0.45,15400.00,9826.79,9450.45,6795.00,1997.16,658395.00,206.00,75.06,129.23,3.34,0.43,0.42
,0.42,149.42,20.34,0.25,0.44,10948.00,10423.70,9632.00,9632.00,569.54,31271.00,14.00,74.61,129.42,3.36,0.78,0.02
,6.03,149.25,20.57,0.30,0.62,17113.00,8703.38,7967.50,4919.00,2769.03,600533.00,236.00,75.00,128.96,4.54,0.41,0.37
,0.29,151.36,19.43,0.25,0.44,11404.00,7880.00,5085.00,5085.00,2630.72,23640.00,14.00,76.95,130.34,0.17,0.80,0.01
,1.02,151.13,18.64,0.22,0.75,15420.00,11498.40,10649.70,8673.00,1919.46,126482.00,44.00,75.52,130.90,0.20,0.63,0.05
,1.47,151.09,18.72,0.37,0.52,19802.00,13454.90,12979.90,10153.00,2318.58,188368.00,54.00,75.44,130.90,1.08,0.58,0.07
,1.82,150.13,19.65,0.28,0.39,17217.00,11303.20,10059.70,8408.00,2392.64,248670.00,74.00,75.23,129.93,0.35,0.62,0.11
,0.72,150.61,19.38,0.34,0.56,15550.00,12002.00,11511.00,9991.00,1797.58,96016.00,32.00,75.52,130.30,0.17,0.78,0.04
,1.28,150.71,19.47,0.48,0.37,14080.00,10235.60,9836.99,6790.00,1950.99,163769.00,48.00,75.97,130.16,0.46,0.73,0.09
,0.44,150.35,20.01,0.08,0.53,8886.00,8326.00,8421.94,7536.00,491.13,33304.00,18.00,75.88,129.80,0.63,0.67,0.01
,0.57,151.25,19.15,0.58,0.19,13243.00,9350.14,8540.83,7538.00,1747.33,65451.00,30.00,76.16,130.68,0.26,0.67,0.02
,0.33,151.26,18.91,0.39,0.47,13781.00,12427.00,9909.00,9909.00,1782.18,37281.00,14.00,75.84,130.88,0.16,0.81,0.01
,1.32,151.51,18.60,0.27,0.66,14931.00,10422.30,9928.41,7308.00,2139.66,145912.00,50.00,76.07,131.03,0.40,0.64,0.07
,0.31,151.51,18.97,0.25,0.44,9978.00,8228.67,6800.00,6800.00,1317.08,24686.00,14.00,76.39,130.85,0.91,0.69,0.01
,1.45,151.19,19.18,0.30,0.64,12642.00,8343.19,7434.57,6075.00,1958.82,133491.00,62.00,76.41,130.46,0.82,0.61,0.08
,0.55,151.33,18.70,0.32,0.46,16456.00,12348.80,10482.60,10163.00,2503.68,49395.00,18.00,75.70,131.04,0.69,0.72,0.02
,4.00,150.80,18.62,0.37,0.33,26472.00,11516.00,9990.85,5585.00,4189.47,541254.00,146.00,75.00,130.80,2.57,0.52,0.28
,0.18,150.39,19.48,0.25,0.44,6431.00,5403.67,4424.00,4424.00,820.05,16211.00,14.00,74.80,130.40,4.36,0.66,0.00
,0.98,149.58,21.38,0.36,0.51,11536.00,6955.64,5795.86,5005.00,1819.38,76512.00,40.00,76.83,128.30,2.88,0.70,0.05
,2.57,150.29,19.71,0.23,0.77,17040.00,10131.60,9367.71,7459.00,2237.42,324211.00,102.00,75.45,129.94,3.06,0.59,0.18
,0.42,150.15,20.33,0.49,0.28,8136.00,7501.80,7202.57,6670.00,512.10,37509.00,22.00,76.02,129.45,2.91,0.70,0.01
,0.52,150.34,20.04,0.63,0.16,10240.00,8000.67,7075.31,5976.00,1691.46,48004.00,26.00,75.90,129.73,3.25,0.63,0.02
,1.48,150.49,19.61,0.72,0.16,13722.00,9449.44,8937.85,6475.00,2323.35,151191.00,54.00,75.62,130.06,3.75,0.70,0.10
,1.08,148.89,21.67,0.29,0.63,13539.00,7717.36,6994.88,6060.00,1915.81,108043.00,42.00,75.84,128.07,3.87,0.76,0.07
,4.24,149.77,21.01,0.29,0.60,16315.00,9072.50,8650.48,6201.00,2169.24,381045.00,150.00,76.78,128.54,3.66,0.46,0.26
,5.87,149.77,20.18,0.53,0.31,16417.00,9032.23,8398.50,6305.00,1763.81,578063.00,214.00,75.75,129.14,4.04,0.43,0.37
,0.35,149.50,20.94,0.36,0.29,10183.00,8015.75,6881.99,6856.00,1353.08,32063.00,16.00,75.58,128.94,3.41,0.69,0.01
,0.54,150.66,19.46,0.29,0.35,11042.00,7057.67,5941.13,4764.00,2037.54,42346.00,26.00,75.49,130.31,4.29,0.74,0.02
,0.50,149.83,21.91,0.39,0.38,10286.00,8407.25,7499.91,7044.00,1259.88,33629.00,18.00,77.95,127.88,4.59,0.79,0.02
,2.27,149.08,21.36,0.34,0.31,15847.00,9504.43,8468.02,6677.00,2310.26,218602.00,82.00,75.97,128.19,4.42,0.50,0.11
,9.00,149.66,20.70,0.25,0.45,18001.00,9857.65,9570.53,6011.00,2497.95,1074480.00,324.00,76.72,128.41,4.84,0.40,0.65
