Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Mean,Intensity Median,Intensity Min,Intensity StdDev,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume,Classification
3.13,94.60,12.67,0.31,0.50,21257.00,14872.70,13719.00,11310.00,2601.62,550290.00,126.00,93.68,13.09,1.36,0.50,0.18,1
0.29,94.50,13.00,0.39,0.47,20147.00,16595.70,13100.00,13100.00,2877.20,49787.00,14.00,93.56,13.18,1.94,0.80,0.01,1
0.55,94.73,12.99,0.22,0.62,20558.00,15653.50,14272.90,13769.00,2340.24,93921.00,26.00,93.79,13.12,2.26,0.69,0.02,1
0.38,90.38,3.70,0.47,0.32,18670.00,14750.50,12282.20,11968.00,2779.18,59002.00,18.00,90.27,3.92,1.94,0.82,0.02,1
1.80,90.27,3.90,0.15,0.72,22533.00,16692.90,15740.10,12872.00,2585.86,300472.00,66.00,90.14,4.16,2.55,0.54,0.09,1
0.36,89.93,4.10,0.32,0.46,17102.00,15358.50,15090.40,13714.00,1208.64,61434.00,18.00,89.80,4.24,2.65,0.65,0.01,1
1.57,91.80,8.50,0.18,0.82,18291.00,12758.00,11526.00,10383.00,2274.22,216886.00,62.00,91.36,8.77,1.68,0.58,0.08,1
2.25,92.04,10.41,0.33,0.45,29763.00,14847.70,12607.10,9240.00,4870.20,489975.00,92.00,91.40,10.66,1.77,0.66,0.17,1
3.22,94.05,12.29,0.40,0.22,23319.00,15512.20,14726.90,9657.00,2914.50,527416.00,116.00,93.18,12.64,1.85,0.49,0.19,1
0.29,94.51,12.43,0.25,0.44,15542.00,14815.00,13734.00,13734.00,779.40,44445.00,14.00,93.64,12.55,2.45,0.79,0.01,1
7.21,89.23,3.32,0.28,0.56,38564.00,17359.70,15614.30,10044.00,5375.73,1788050.00,294.00,89.12,3.89,2.20,0.48,0.60,1
0.36,89.69,4.22,0.16,0.84,16412.00,14111.30,13543.60,12015.00,1590.66,56445.00,18.00,89.56,4.34,1.80,0.71,0.01,1
0.33,89.11,3.45,0.32,0.46,20125.00,15242.50,13165.60,12763.00,2930.14,60970.00,18.00,88.97,3.62,3.31,0.71,0.01,1
0.23,89.36,3.81,0.25,0.44,14751.00,13955.30,12985.00,12985.00,731.48,41866.00,14.00,89.18,3.88,4.30,0.71,0.01,1
0.74,88.92,4.64,0.35,0.53,15526.00,12910.20,12907.50,10289.00,1807.13,129102.00,34.00,88.76,4.91,2.15,0.80,0.04,1
0.80,90.16,7.34,0.26,0.60,21843.00,14137.90,12691.90,10634.00,3374.89,155517.00,42.00,89.82,7.55,2.21,0.66,0.04,1
3.47,93.52,11.47,0.23,0.70,32194.00,16210.20,14506.50,9554.00,4901.69,1086090.00,150.00,92.75,11.88,2.00,0.71,0.36,1
2.98,94.03,14.79,0.17,0.71,17407.00,14080.10,14190.60,9853.00,1869.30,535045.00,130.00,92.75,15.24,2.35,0.51,0.18,1
4.65,90.37,3.14,0.38,0.49,32955.00,17713.00,15873.10,11727.00,4927.54,1346190.00,198.00,90.25,3.67,2.86,0.60,0.44,1
0.06,90.89,6.78,0.39,0.47,11070.00,10477.70,10171.00,10171.00,418.92,31433.00,14.00,90.61,6.85,1.66,0.76,0.00,1
2.60,91.33,6.43,0.24,0.73,34464.00,16462.90,14775.10,10576.00,4827.90,625591.00,118.00,91.05,6.75,2.56,0.62,0.19,1
